date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:21:54	117/117	---M-Z	200	added ('OK')	text/plain	date:Tue,%2023%20Jun%202026%2013:21:53%20GMT	https://globalcollege.ac.ke/robots.txt		(from )
16:21:54	153595/153595	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jun%202026%2013:21:53%20GMT	https://globalcollege.ac.ke/	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/index.html	(from )
16:21:55	16872/16872	---MCZ	200	added ('OK')	application/rss+xml	etag:%22ba9d9c49069426e0f60aaf9240a682fa%22	https://globalcollege.ac.ke/feed	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/feed	(from https://globalcollege.ac.ke/)
16:21:56	139724/139724	---M--	200	added ('OK')	image/webp	date:Wed,%2006%20Aug%202025%2017:00:38%20GMT	https://globalcollege.ac.ke/wp-content/uploads/2025/08/Global-Background-Image.webp	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/uploads/2025/08/Global-Background-Image.webp	(from https://globalcollege.ac.ke/)
16:21:56	1010/1010	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ba9d9c49069426e0f60aaf9240a682fa%22	https://globalcollege.ac.ke/comments/feed	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/comments/feed	(from https://globalcollege.ac.ke/)
16:21:57	2302/2302	---M-Z	200	added ('OK')	application/json	date:Tue,%2023%20Jun%202026%2013:21:56%20GMT	https://globalcollege.ac.ke/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fglobalcollege.ac.ke%2F	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-json/oembed/1.0/embeda46e.json	(from https://globalcollege.ac.ke/)
16:21:57	2747/2747	---M-Z	200	added ('OK')	text/xml	date:Tue,%2023%20Jun%202026%2013:21:56%20GMT	https://globalcollege.ac.ke/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fglobalcollege.ac.ke%2F&format=xml	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-json/oembed/1.0/embed7a9d	(from https://globalcollege.ac.ke/)
16:21:58	9361/9361	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/niche-frame.css?ver=1.0	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/niche-frame5152.css	(from https://globalcollege.ac.ke/)
16:21:58	30999/30999	---M-Z	200	added ('OK')	text/css	date:Mon,%2022%20Jun%202026%2021:45:24%20GMT	https://globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://globalcollege.ac.ke/)
16:21:58	58129/58129	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/animate.min.css?ver=3.7.2	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/animate.minf3df.css	(from https://globalcollege.ac.ke/)
16:21:59	13837/13837	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Sep%202025%2012:49:28%20GMT	https://globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/themify-icons.min.css?ver=1.0.0	C:/Users/EBook/global%20college/https___globalcollege.ac.ke_/globalcollege.ac.ke/wp-content/plugins/events-addon-for-elementor/assets/css/themify-icons.min8a54.css	(from https://globalcollege.ac.ke/)
